event_id,event_date,team_name,team_id,rider_name,rider_id,pcs_rank,event_rank,uci_points,pcs_points_season,pcs_points_last_60d,pcs_gc_points,pcs_gc_points_season,pcs_sprint_points,pcs_sprint_points_season,pcs_rank_w,event_rank_w,uci_points_w,pcs_points_season_w,pcs_gc_points_season_w,pcs_points_last_60d_w,pcs_gc_points_w,pcs_sprint_points_w,pcs_sprint_points_season_w,gc_score,classic_score,sprinter_score,combined_score,rank,tier,fav_points
giro-d-italia,2025-05-09,Cofidis (WT),team/cofidis-2025,OLDANI Stefano,rider/stefano-oldani,267.0,74.0,95.0,60.0,60.0,115.0,55.0,74.5,55.0,267.0,74.0,95.0,60.0,55.0,60.0,115.0,74.5,55.0,-1.183613158806303,-0.37199526913532194,0.8228807197722032,-0.5388290161893075,0.0,0.0,0.0
giro-d-italia,2025-05-09,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,BARONCINI Filippo,rider/filippo-baroncini,182.0,55.0,26.43,42.0,33.0,135.5,45.0,48.0,33.0,182.0,55.0,26.43,42.0,45.0,33.0,135.5,48.0,33.0,-0.9589194157368401,-0.6875961904879107,0.3754452857595693,-0.6106495078628794,0.0,0.0,0.0
giro-d-italia,2025-05-09,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,STORK Florian,rider/florian-stork,300.0,80.0,143.0,98.0,13.0,134.75,111.0,8.75,5.0,300.0,80.0,143.0,98.0,111.0,13.0,134.75,8.75,5.0,-0.6276950984026485,-0.7015323917737745,-0.7924805290620416,-0.6828033725458649,0.0,0.0,0.0
giro-d-italia,2025-05-09,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,VOISARD Yannis,rider/yannis-voisard,362.0,96.0,31.0,24.0,16.0,366.0,137.0,12.0,12.0,362.0,96.0,31.0,24.0,137.0,16.0,366.0,12.0,12.0,0.1524801707949759,-1.8185899461389732,-1.0846306345888075,-0.6862630253619655,0.0,0.0,0.0
giro-d-italia,2025-05-09,Movistar Team (WT),team/movistar-team-2025,QUINTANA Nairo,rider/nairo-quintana,266.0,73.0,74.0,53.0,29.0,134.0,124.0,0.0,0.0,266.0,73.0,74.0,53.0,124.0,29.0,134.0,0.0,0.0,-0.4995137946352843,-0.8901909605049245,-0.9549567909574668,-0.7078055436606129,0.0,0.0,0.0
giro-d-italia,2025-05-09,Team Jayco AlUla (WT),team/team-jayco-alula-2025,HARPER Chris,rider/chris-harper,465.0,121.0,192.0,123.0,5.0,400.5,105.0,0.0,0.0,465.0,121.0,192.0,123.0,105.0,5.0,400.5,0.0,0.0,-0.1465811272194717,-1.1989223008108412,-1.5904313368717875,-0.7510535212273457,0.0,0.0,0.0
giro-d-italia,2025-05-09,EF Education - EasyPost (WT),team/ef-education-easypost-2025,ASGREEN Kasper,rider/kasper-asgreen,285.0,76.0,10.0,26.0,15.0,219.25,85.0,115.0,15.0,285.0,76.0,10.0,26.0,85.0,15.0,219.25,115.0,15.0,-0.6568674519461988,-1.5119765134932894,0.14333689640158692,-0.7533593007407688,0.0,0.0,0.0
giro-d-italia,2025-05-09,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,AFFINI Edoardo,rider/edoardo-affini,178.0,53.0,8.57,35.0,30.0,80.0,45.0,57.5,0.0,178.0,53.0,8.57,35.0,45.0,30.0,80.0,57.5,0.0,-1.2046991454883695,-0.7988216481458472,-0.22540879752978113,-0.8870778266938952,0.0,0.0,0.0
giro-d-italia,2025-05-09,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,ARRIETA Igor,rider/igor-arrieta-lizarraga,378.0,100.0,115.0,111.0,76.0,139.25,85.0,0.0,0.0,378.0,100.0,115.0,111.0,85.0,76.0,139.25,0.0,0.0,-1.2315661379786738,-0.09764627666194484,-1.3560499244986484,-0.9162869368876501,0.0,0.0,0.0
giro-d-italia,2025-05-09,Groupama - FDJ (WT),team/groupama-fdj-2025,ROCHAS Rémy,rider/remy-rochas,391.0,102.0,155.0,114.0,5.0,299.75,65.0,0.0,0.0,391.0,102.0,155.0,114.0,65.0,5.0,299.75,0.0,0.0,-0.6893715982808837,-1.0245681948431256,-1.331489844204513,-0.9183542264342821,0.0,0.0,0.0
