event_id,event_date,team_name,team_id,rider_name,rider_id,pcs_rank,event_rank,uci_points,pcs_points_season,pcs_points_last_60d,pcs_gc_points,pcs_gc_points_season,pcs_sprint_points,pcs_sprint_points_season
giro-d-italia,2023-05-06,Cofidis (WT),team/cofidis-2023,LASTRA Jonathan,rider/jonathan-lastra,285,78,18,25,20,347.5,138,0,0
giro-d-italia,2023-05-06,Cofidis (WT),team/cofidis-2023,ROCHAS Rémy,rider/remy-rochas,371,91,13,10,5,195.25,48,0,0
giro-d-italia,2023-05-06,Cofidis (WT),team/cofidis-2023,TOUMIRE Hugo,rider/hugo-toumire,-,167,8,5,5,35.5,10,0,0
giro-d-italia,2023-05-06,EF Education - EasyPost (WT),team/ef-education-easypost-2023,URÁN Rigoberto,rider/rigoberto-uran,82,23,125,119,119,842.25,343,0,0
giro-d-italia,2023-05-06,EF Education - EasyPost (WT),team/ef-education-easypost-2023,CAICEDO Jonathan Klever,rider/jonathan-klever-caicedo,471,105,70,37,22,96.5,73,0,0
giro-d-italia,2023-05-06,EF Education - EasyPost (WT),team/ef-education-easypost-2023,CARTHY Hugh,rider/hugh-carthy,68,20,347,260,223,939.75,530,0,0
giro-d-italia,2023-05-06,EF Education - EasyPost (WT),team/ef-education-easypost-2023,CEPEDA Jefferson Alexander,rider/jefferson-alexander-cepeda,316,82,274,154,103,247.5,118,0,0
giro-d-italia,2023-05-06,EF Education - EasyPost (WT),team/ef-education-easypost-2023,DE BOD Stefan,rider/stefan-de-bod,249,69,116.57,102,11,263.25,161,0,0
giro-d-italia,2023-05-06,EF Education - EasyPost (WT),team/ef-education-easypost-2023,HEALY Ben,rider/ben-healy,58,18,1405,637,597,109.75,106,16,0
giro-d-italia,2023-05-06,EF Education - EasyPost (WT),team/ef-education-easypost-2023,BETTIOL Alberto,rider/alberto-bettiol,91,26,153,117,27,149,66,209.75,101
giro-d-italia,2023-05-06,EF Education - EasyPost (WT),team/ef-education-easypost-2023,CORT Magnus,rider/magnus-cort-nielsen,74,22,231.71,212,66,203.25,145,212,134
giro-d-italia,2023-05-06,EOLO-Kometa (PRT),team/eolo-kometa-2023,ALBANESE Vincenzo,rider/vincenzo-albanese,123,36,98,115,115,242.75,196,51,33
giro-d-italia,2023-05-06,EOLO-Kometa (PRT),team/eolo-kometa-2023,BAIS Davide,rider/davide-bais,519,116,0,8,5,43,33,0,0
giro-d-italia,2023-05-06,EOLO-Kometa (PRT),team/eolo-kometa-2023,BAIS Mattia,rider/mattia-bais,824,150,0,10,10,56.5,26,0,0
