"event_id","event_date","team_name","team_id","rider_name","rider_id","pcs_rank","event_rank","uci_points","pcs_points_season","pcs_gc_points_season","pcs_points_last_60d","pcs_gc_points","pcs_sprint_points","pcs_sprint_points_season","pcs_rank_t","event_rank_t","uci_points_t","pcs_points_season_t","pcs_gc_points_season_t","pcs_points_last_60d_t","pcs_gc_points_t","combined_score","gc_weight","rank","diff_next","tier","is_tier1","keep_in_tier1"
"vuelta-a-espana","2023-08-26","Movistar Team (WT)","team/movistar-team-2023","RUBIO Einer","rider/einer-rubio",41,10,1161.39,747,596,120,1436.25,NA,NA,-3.73766961828337,-2.39789527279837,7.0582335093285,6.61740297797448,6.3919171133926,4.79579054559674,7.2704868445034,6.28937975456979,0.93015624767872,9,0.596095774430523,"Tier 2",FALSE,FALSE
"giro-d-italia","2023-05-06","Bora - Hansgrohe (WT)","team/bora-hansgrohe-2023","VLASOV Aleksandr","rider/aleksandr-vlasov",55,16,2040.55,220,440,122,2574,NA,NA,-4.02535169073515,-2.83321334405622,7.62146460225496,5.39816270151775,6.08904487544685,4.81218435537242,7.85360481309784,6.2492909706134,0.886082067839402,12,0.226635246222979,"Tier 3",FALSE,FALSE
"giro-d-italia","2024-05-04","INEOS Grenadiers (WT)","team/ineos-grenadiers-2024","NARVÁEZ Jhonatan","rider/jhonatan-narvaez",45,7,1840,500,248,155,917.25,NA,NA,-3.8286413964891,-2.07944154167984,7.51806418123308,6.21660610108486,5.51745289646471,5.04985600724954,6.82246968469978,6.2206770567147,0.802903603391028,7,0.184849928484796,"Tier 3",FALSE,FALSE
"tour-de-france","2024-06-29","Red Bull - BORA - hansgrohe (WT)","team/red-bull-bora-hansgrohe-2024","VLASOV Aleksandr","rider/aleksandr-vlasov",8,7,2073,977,730,136,1811.5,NA,NA,-2.19722457733622,-2.07944154167984,7.63723438878947,6.88550967003482,6.59441345974978,4.91998092582813,7.50246238672883,6.19190383892218,0.959623657589527,8,0.547351777712371,"Tier 2",FALSE,FALSE
"tour-de-france","2025-07-05","Red Bull - BORA - hansgrohe (WT)","team/red-bull-bora-hansgrohe-2025","LIPOWITZ Florian","rider/florian-lipowitz",30,22,2549,616,770,223,1016.25,10.5,0,-3.43398720448515,-3.13549421592915,7.84384863815247,6.42486902390539,6.64768837356333,5.41164605185504,6.9248581868818,6.13727052040985,0.967376260298406,9,0.14531292336158,"Tier 2",FALSE,FALSE
"tour-de-france","2023-07-01","AG2R Citroën Team (WT)","team/ag2r-citroen-team-2023","O'CONNOR Ben","rider/ben-o-connor",58,36,1397,481,540,206,2832.75,NA,NA,-4.07753744390572,-3.61091791264422,7.24279792279376,6.1779441140506,6.29341927884648,5.33271879326537,7.94935620182174,6.12034040449506,0.915822773924197,6,0.17789482277269,"Tier 3",FALSE,FALSE
"giro-d-italia","2025-05-09","XDS Astana Team (WT)","team/xds-astana-team-2025","POELS Wout","rider/wout-poels",110,37,339,284,398,226,762.5,2,0,-4.70953020131233,-3.63758615972639,5.82894561761021,5.65248918026865,5.98896141688986,5.4249500174814,6.63791312465869,6.05173938564345,0.873342928977803,14,0.0211453412352851,"Tier 3",FALSE,FALSE
"giro-d-italia","2024-05-04","Tudor Pro Cycling Team (PRT)","team/tudor-pro-cycling-team-2024","STORER Michael","rider/michael-storer",107,26,968,225,466,82,1355.5,NA,NA,-4.68213122712422,-3.29583686600433,6.87626461189077,5.42053499927229,6.1463292576689,4.4188406077966,7.21266313209899,6.0358271282299,0.894418131194575,8,0.0698374879915056,"Tier 3",FALSE,FALSE
"giro-d-italia","2025-05-09","Bahrain - Victorious (WT)","team/bahrain-victorious-2025","TIBERI Antonio","rider/antonio-tiberi",57,19,1070,215,526,187,840.75,1.5,0,-4.06044301054642,-2.99573227355399,6.97634807044775,5.37527840768417,6.26720054854136,5.23644196282995,6.73548305804118,6.03059404440817,0.91391727255388,15,NA,"Tier 3",FALSE,FALSE
"vuelta-a-espana","2025-08-23","Groupama - FDJ (WT)","team/groupama-fdj-2025","MARTIN Guillaume","rider/guillaume-martin",62,15,752,613,439,144,834.75,0,0,-4.14313472639153,-2.77258872223978,6.62406522779989,6.41999492814714,6.08677472691231,4.97673374242057,6.72832952530021,6.03042799285026,0.885751714237329,12,0.110061633822704,"Tier 2",FALSE,FALSE
