rider_id,rider_name,stage_id,stage,stage_points,cumulative_points
rider/mathijs-paasschens,PAASSCHENS Mathijs,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/mathys-rondel,RONDEL Mathys,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/matteo-malucelli,MALUCELLI Matteo,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/matteo-moschetti,MOSCHETTI Matteo,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/matteo-sobrero,SOBRERO Matteo,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/mattia-bais,BAIS Mattia,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/matyas-kopecky,KOPECKÝ Matyáš,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/max-walscheid,WALSCHEID Max,race/giro-d-italia/2026/stage-1,1,4.0,4.0
rider/michael-storer,STORER Michael,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/michael-valgren-andersen,VALGREN Michael,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/mick-van-dijke,VAN DIJKE Mick,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/mikkel-bjerg,BJERG Mikkel,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/milan-menten,MENTEN Milan,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/mirco-maestri,MAESTRI Mirco,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/nelson-oliveira,OLIVEIRA Nelson,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/nick-schultz,SCHULTZ Nick,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/nickolas-zukowsky,ZUKOWSKY Nickolas,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/nico-denz,DENZ Nico,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/nikita-tsvetkov,TSVETKOV Nikita,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/niklas-larsen,LARSEN Niklas,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/oliver-naesen,NAESEN Oliver,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/orluis-aular,AULAR Orluis,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/pascal-ackermann,ACKERMANN Pascal,race/giro-d-italia/2026/stage-1,1,8.0,8.0
rider/paul-magnier,MAGNIER Paul,race/giro-d-italia/2026/stage-1,1,41.0,41.0
rider/paul-penhoet,PENHOËT Paul,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/rasmus-sojbergpedersen,PEDERSEN Rasmus Søjberg,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/remi-cavagna,CAVAGNA Rémi,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/remy-rochas,ROCHAS Rémy,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/robert-donaldson,DONALDSON Robert,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/robert-stannard,STANNARD Robert,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/robin-froidevaux,FROIDEVAUX Robin,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/ryan-mullen,MULLEN Ryan,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/sakarias-koller-loland,LØLAND Sakarias Koller,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/samuele-battistella,BATTISTELLA Samuele,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/santiago-buitrago-sanchez,BUITRAGO Santiago,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/sean-flynn,FLYNN Sean,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/sepp-kuss,KUSS Sepp,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/simone-consonni,CONSONNI Simone,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/simone-gualdi,GUALDI Simone,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/sjoerd-bax,BAX Sjoerd,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/thomas-pesenti,PESENTI Thomas,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/thymen-arensman,ARENSMAN Thymen,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/tim-naberman,NABERMAN Tim,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/tim-rex,REX Tim,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/tim-torn-teutenberg,TEUTENBERG Tim Torn,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/timo-de-jong,DE JONG Timo,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/timo-kielich,KIELICH Timo,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/tobias-bayer,BAYER Tobias,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/tobias-lund-andresen,ANDRESEN Tobias Lund,race/giro-d-italia/2026/stage-1,1,31.0,31.0
rider/tomas-kopecky,KOPECKÝ Tomáš,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/toon-aerts,AERTS Toon,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/tord-gudmestad,GUDMESTAD Tord,race/giro-d-italia/2026/stage-1,1,6.0,6.0
rider/vicente-rojas,ROJAS Vicente,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/victor-campenaerts,CAMPENAERTS Victor,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/warren-barguil,BARGUIL Warren,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/wilco-kelderman,KELDERMAN Wilco,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/william-barta,BARTA Will,race/giro-d-italia/2026/stage-1,1,0.0,0.0
rider/wout-poels,POELS Wout,race/giro-d-italia/2026/stage-1,1,0.0,0.0
