rider_id,rider_name,stage_id,stage,stage_points,cumulative_points
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-5,5,0,0
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-6,6,1,1
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-7,7,0,1
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-8,8,0,1
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-9,9,0,1
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-10,10,0,1
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-11,11,0,1
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-12,12,0,1
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-13,13,0,1
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-14,14,0,1
rider/antonio-tiberi,TIBERI Antonio,race/vuelta-a-espana/2025/stage-15,15,0,1
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-5,5,0,0
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-6,6,4,4
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-7,7,0,4
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-8,8,0,4
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-9,9,0,4
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-10,10,14,18
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-11,11,0,18
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-12,12,0,18
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-13,13,0,18
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-14,14,0,18
rider/archie-ryan,RYAN Archie,race/vuelta-a-espana/2025/stage-15,15,0,18
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-5,5,1,1
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-6,6,0,1
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-7,7,0,1
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-8,8,0,1
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-9,9,0,1
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-10,10,0,1
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-11,11,0,1
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-12,12,0,1
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-13,13,0,1
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-14,14,0,1
rider/arjen-livyns,LIVYNS Arjen,race/vuelta-a-espana/2025/stage-15,15,0,1
rider/arne-marit,MARIT Arne,race/vuelta-a-espana/2025/stage-1,1,0,0
